2026-06-28 13:03:27,484 | WARNING | email-validator not installed, email fields will be treated as str.
To install, run: pip install email-validator
2026-06-28 13:03:40,511 | INFO | Generated 10 recommendations.
2026-06-28 14:01:17,490 | INFO | Cache hit for 'iron'
2026-06-28 14:02:19,484 | INFO | Cache hit for 'iron'
2026-06-28 14:02:20,546 | INFO | Cache hit for 'ironmain'
2026-06-28 14:13:45,624 | INFO | Cache hit for 'iron'
2026-06-28 14:15:47,709 | INFO | Cache hit for 'inter'
2026-06-28 14:16:41,014 | INFO | Cache hit for 'iron'
2026-06-28 14:20:09,900 | INFO | Cache hit for 'rion'
2026-06-28 14:20:18,404 | INFO | Cache hit for 'rion'
2026-06-28 14:35:58,493 | WARNING | TMDB lookup failed for 'Prison': ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-06-28 14:36:02,521 | WARNING | TMDB lookup failed for 'Partition': ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-06-28 14:36:02,941 | WARNING | TMDB lookup failed for 'Centurion': ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-06-28 14:36:03,377 | WARNING | TMDB lookup failed for 'Legion': ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-06-28 14:36:03,796 | WARNING | TMDB lookup failed for 'Frozen': ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-06-28 14:36:04,211 | WARNING | TMDB lookup failed for 'Eragon': ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-06-28 14:36:16,914 | WARNING | TMDB lookup failed for 'Salt': ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-06-28 14:36:17,342 | WARNING | TMDB lookup failed for 'Rust': ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-06-28 14:36:17,853 | WARNING | TMDB lookup failed for 'Rent': ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-06-28 14:36:19,078 | WARNING | TMDB lookup failed for 'Hits': ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-06-28 14:36:20,409 | WARNING | TMDB lookup failed for 'Bolt': ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-06-28 14:36:20,587 | WARNING | TMDB lookup failed for 'Drumline': ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-06-28 14:36:20,893 | WARNING | TMDB lookup failed for 'Bats': ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-06-28 14:36:21,043 | WARNING | TMDB lookup failed for 'Criminal': ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-06-28 14:36:21,361 | WARNING | TMDB lookup failed for 'Bait': ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
2026-06-28 14:36:21,851 | WARNING | TMDB lookup failed for 'Antz': ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))
